ID;Edad;Sexo;Estado_Civil;Numero_Hijos;Nivel_Educativo;Zona_Vivienda;Estrato;Sector;Tamaño_Empresa;Trabajo_Turnos;Tipo_Contrato;Horas_Semana;Ingreso;Tipo_Cargo;Personas_Cargo;Años_Experiencia;Antiguedad_Cargo;Modalidad;Horas_Traslado;Horas_Formacion;CT1;CT2;CT3;PT1;PT2;PT3;PT4;CL1;CL2;CL3;CL4;CL5;CL6;CL7;AC1;AC2;AC3;CR1;CR2;CR3;CR4;CoR1;CoR2;CoR3;GC1;GC2;GC3;GC4;SM1;SM2;SM3;SM4;SM5;SAT1;SAT2;SAT3;SAT4;SAT5;SAT6;SAT7;SAT8;SAT9;IR1;IR2;IR3;IR4;FT1;FT2;FT3;FT4;FT5;TF1;TF2;TF3;TF4;TF5;BU1;BU2;BU3;BU4;BU5;BU6;BU7;BU8;BU9;BU10;BU11;BU12;BP1;BP2;BP3;BP4;BP5;BP6;BP7;BP8;BP9;BP10;SOM1;SOM2;SOM3;SOM4;SOM5;DL1;DL2;DL3;DL4;DL5;DL6;DL7;DL8;CT_prom;PT_prom;CL_prom;AC_prom;CR_prom;CoR_prom;GC_prom;SM_prom;SAT_prom;IR_prom;FT_prom;TF_prom;BU_prom;BP_prom;SOM_prom;DL_prom
102;47;Hombre;Casado;1;Bachiller;Urbana;2;Público;Entre 200 y 500 empleados;No;Presentación de servicios;49;Entre 1 y 3 SMLV;Operativo;No;Más de 25;Entre 1 y 3 años;Presencial;Menos de 1 hora;71;4;3;5;1;2;1;1;4;3;4;3;4;4;3;4;4;5;5;5;5;5;3;3;3;4;3;3;3;4;2;3;4;3;5;6;6;5;5;4;6;5;5;5;4;3;4;1;1;1;1;3;4;3;3;2;3;1;2;2;2;2;2;2;2;2;2;1;2;5;4;5;6;4;5;5;5;5;5;1;2;1;2;1;4;5;4;3;3;4;4;4;4;1.25;3.571428571;4.333333333;5;3;3.25;3.2;5.222222222;4;1.4;3;1.833333333;4.9;1.4;3.875
103;36;Mujer;Casado;2;Técnico;Urbana;4;Mixto;Más de 500 empleados;No;Libre nombramiento y remocion;45;Entre 1 y 3 SMLV;Administrativo;No;Entre 15 a 20;Entre 7 y 10 años;Presencial;Entre 1 y 2 horas;26;3;3;3;3;2;3;3;3;4;2;4;3;3;3;4;3;4;3;4;4;3;3;3;3;2;2;2;3;4;4;5;4;4;6;6;7;4;5;7;5;6;6;6;6;2;4;1;1;1;1;1;3;2;2;3;3;2;1;1;1;2;2;2;2;2;2;1;2;6;6;5;5;5;5;6;5;6;5;5;3;4;4;4;1;1;2;2;2;2;1;1;3;2.75;3.142857143;3.666666667;3.5;3;2.25;4.2;5.777777778;4.5;1;2.6;1.666666667;5.4;4;1.5
104;49;Mujer;Casado;Sin hijos;Tecnológico;Urbana;2;Público;Entre 50 y 200 empleados;No;Presentación de servicios;45;Entre 1 y 3 SMLV;Operativo;No;Entre 5 a 10;Entre 1 y 3 años;Presencial;Más de 3 horas;8;5;4;4;2;2;2;2;5;4;5;4;4;5;4;4;3;5;5;5;5;5;1;3;2;4;4;3;3;3;3;2;3;3;7;5;5;6;5;5;6;6;5;4;3;4;4;1;1;1;1;3;2;4;3;2;3;1;1;2;2;3;2;2;2;2;3;2;1;6;6;6;6;6;6;6;6;7;7;3;4;3;2;2;2;1;2;1;1;3;1;2;4.333333333;2;4.428571429;4;5;2;3.5;2.8;5.555555556;3.75;1.4;2.8;1.916666667;6.2;2.8;1.625
105;40;Hombre;Casado;2;Profesional;Rural;3;Público;Entre 200 y 500 empleados;No;Otro;50;Entre 1 y 3 SMLV;Administrativo;No;Entre 10 a 15;Menos de 1 año;Presencial;Menos de 1 hora;26;2;3;2;2;1;2;3;5;5;5;5;4;5;5;3;4;4;4;3;4;4;4;2;2;4;4;4;4;3;3;3;3;3;7;7;7;7;7;7;7;7;7;7;2;3;2;3;3;3;2;3;2;3;2;2;3;1;1;1;2;1;1;2;2;2;2;1;1;7;7;7;7;7;7;7;7;7;7;3;3;3;3;3;2;3;4;2;2;4;3;3;2.333333333;2;4.857142857;3.666666667;3.75;2.666666667;4;3;7;3.5;2.8;2.4;1.416666667;7;3;2.875
106;22;Mujer;Casado;1;Profesional;Urbana;3;Mixto;Más de 500 empleados;No;Carrera;44;Entre 5 y 10 SMLV;Operativo;No;Entre 1 a 5;Entre 1 y 3 años;Presencial;Menos de 1 hora;30;5;4;4;3;3;3;3;4;4;3;4;3;4;3;4;5;4;3;3;3;3;3;3;3;3;4;3;3;2;2;2;1;2;6;6;6;6;6;6;6;6;4;3;6;6;6;1;1;1;1;1;2;3;3;2;2;1;2;2;3;2;1;1;1;1;2;1;2;7;5;7;6;6;6;6;6;7;7;4;3;2;2;2;1;1;1;1;1;1;1;1;4.333333333;3;3.571428571;4.333333333;3;3;3.25;1.8;5.777777778;5.25;1;2.4;1.583333333;6.3;2.6;1
107;38;Mujer;Unión libre;Sin hijos;Tecnológico;Urbana;2;Público;Más de 500 empleados;Si;Carrera;41;Entre 1 y 3 SMLV;Directivo;No;Entre 10 a 15;Más de 10 años;Híbrido;Menos de 1 hora;55;2;3;3;4;4;4;3;4;5;4;3;3;4;4;4;3;4;5;5;5;5;3;4;4;3;4;2;3;2;2;1;3;2;5;6;5;5;5;6;6;5;5;2;6;6;6;2;3;3;2;3;2;4;2;3;4;2;2;3;2;1;1;2;2;3;2;3;1;5;5;6;6;6;5;6;6;5;5;1;2;1;2;2;3;3;4;4;2;3;4;3;2.666666667;3.75;3.857142857;3.666666667;5;3.666666667;3;2;5.333333333;5;2.6;3;2;5.5;1.6;3.25
108;49;Mujer;Soltero;2;Posgrado;Urbana;3;Público;Entre 200 y 500 empleados;No;Libre nombramiento y remocion;39;Entre 1 y 3 SMLV;Operativo;No;Entre 10 a 15;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;8;5;4;5;2;1;2;2;4;2;2;2;3;2;2;5;4;5;5;4;4;5;3;3;3;3;2;3;2;2;1;3;2;3;5;5;6;5;7;5;5;5;5;5;1;3;1;1;1;1;1;1;1;3;1;1;3;1;1;1;1;1;2;1;2;2;2;2;1;6;7;7;6;7;7;7;7;7;7;3;2;4;2;4;3;2;3;3;3;3;2;3;4.666666667;1.75;2.428571429;4.666666667;4.5;3;2.5;2.2;5.333333333;2.5;1;1.8;1.416666667;6.8;3;2.75
109;24;Hombre;Soltero;3;Posgrado;Urbana;4;Público;Entre 200 y 500 empleados;No;Provisionalidad;30;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;7;1;1;1;4;4;4;4;3;3;4;4;5;4;4;4;3;5;4;5;5;5;3;3;3;4;4;5;3;2;2;1;3;2;7;5;6;5;5;6;4;4;6;4;4;4;4;4;6;4;4;6;5;5;7;7;5;2;3;4;4;4;3;3;4;4;3;3;2;5;6;5;6;6;5;5;6;5;5;4;4;5;4;5;3;2;3;2;2;3;1;2;1;4;3.857142857;4;4.75;3;4;2;5.333333333;4;4.8;5.8;3.25;5.4;4.4;2.25
110;24;Mujer;Casado;Sin hijos;Tecnológico;Urbana;2;Público;Más de 500 empleados;No;Presentación de servicios;46;Entre 1 y 3 SMLV;Administrativo;Si;Entre 1 a 5;Entre 1 y 3 años;Híbrido;Menos de 1 hora;137;2;2;2;4;4;5;4;3;2;3;3;2;2;3;4;4;4;5;5;5;4;2;3;2;3;3;3;3;3;4;3;3;3;5;7;6;5;7;5;5;7;7;6;3;2;3;4;4;3;2;3;7;6;5;5;6;2;3;3;3;2;3;2;2;2;2;2;3;5;5;6;5;5;6;5;5;5;5;3;5;4;4;5;3;5;5;4;4;4;5;4;2;4.25;2.571428571;4;4.75;2.333333333;3;3.2;6;3.5;3.2;5.8;2.416666667;5.2;4.2;4.25
111;45;Hombre;Casado;Sin hijos;Posgrado;Urbana;4;Mixto;Entre 200 y 500 empleados;No;Libre nombramiento y remocion;44;Entre 5 y 10 SMLV;Administrativo;No;Entre 5 a 10;Entre 3 y 7 años;Presencial;Menos de 1 hora;17;2;2;2;3;4;3;2;2;4;3;4;3;4;4;3;3;4;4;5;4;5;2;3;2;2;1;2;2;3;4;3;4;3;6;6;5;5;5;5;5;5;7;4;6;4;4;3;1;3;1;2;3;2;3;3;3;3;1;3;2;3;3;2;2;3;2;2;2;5;4;4;4;4;5;6;4;4;5;3;3;2;4;3;3;3;3;2;4;4;3;3;2;3;3.428571429;3.333333333;4.5;2.333333333;1.75;3.4;5.444444444;4.5;2;2.8;2.333333333;4.5;3;3.125
112;36;Mujer;Viudo;2;Bachiller;Urbana;2;Público;Entre 200 y 500 empleados;Si;Presentación de servicios;38;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;45;1;1;1;5;5;5;5;3;2;2;1;2;3;2;5;4;4;4;5;5;5;3;3;3;2;2;3;2;3;2;2;2;3;4;4;4;3;2;2;4;2;4;1;5;7;7;4;4;4;4;4;6;4;6;4;6;4;4;5;5;4;5;4;5;4;4;4;4;4;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;5;4;4;4;4;5;3;1;5;2.142857143;4.333333333;4.75;3;2.25;2.4;3.222222222;5;4;5.2;4.333333333;3.3;4;4.125
113;57;Mujer;Separado;Sin hijos;Tecnológico;Urbana;4;Público;Entre 50 y 200 empleados;No;Presentación de servicios;39;Entre 1 y 3 SMLV;Administrativo;Si;Más de 25;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;16;2;2;3;2;2;1;2;1;3;3;2;2;3;3;3;3;3;4;5;5;5;2;2;3;2;2;2;2;3;3;2;2;2;6;6;6;4;6;5;6;5;4;7;3;3;3;1;1;1;2;3;2;2;2;3;2;3;3;1;1;3;2;1;1;3;3;2;2;6;7;6;6;7;6;6;6;5;6;3;1;1;2;3;3;4;3;1;2;2;2;3;2.333333333;1.75;2.428571429;3;4.75;2.333333333;2;2.4;5.333333333;4;1.6;2.2;2.083333333;6.1;2;2.5
114;58;Mujer;Unión libre;2;Técnico;Urbana;5;Público;Entre 50 y 200 empleados;No;Libre nombramiento y remocion;43;Entre 3 y 5 SMLV;Operativo;No;Entre 20 a 25;Entre 1 y 3 años;Presencial;Menos de 1 hora;7;2;3;3;4;3;3;4;5;4;3;4;5;3;4;5;5;4;5;5;5;5;3;3;4;4;4;3;4;4;3;3;5;4;7;5;7;7;5;7;7;5;5;6;3;3;1;3;1;1;1;1;4;4;4;4;6;3;1;1;2;1;1;1;1;1;1;1;1;6;7;7;7;7;7;7;7;7;6;2;3;2;1;2;3;1;4;2;3;3;2;2;2.666666667;3.5;4;4.666666667;5;3.333333333;3.75;3.8;6.111111111;3.25;1.4;4.4;1.25;6.8;2;2.5
115;47;Hombre;Casado;1;Posgrado;Urbana;2;Público;Entre 200 y 500 empleados;Si;Carrera;40;Entre 1 y 3 SMLV;Operativo;Si;Entre 1 a 5;Entre 1 y 3 años;Presencial;Menos de 1 hora;1;3;3;3;3;4;3;4;3;2;3;3;3;3;3;5;5;4;4;5;4;5;3;2;3;2;2;3;3;3;3;3;4;3;6;6;4;4;6;6;4;4;4;2;6;6;5;3;2;2;2;2;4;6;4;6;4;3;4;3;4;4;4;3;3;3;3;4;4;6;6;6;5;5;5;6;6;5;6;3;2;3;2;2;4;4;5;4;4;5;3;4;3;3.5;2.857142857;4.666666667;4.5;2.666666667;2.5;3.2;4.888888889;4.75;2.2;4.8;3.5;5.6;2.4;4.125
116;40;Hombre;Unión libre;Sin hijos;Posgrado;Urbana;2;Público;Entre 200 y 500 empleados;No;Carrera;30;Entre 1 y 3 SMLV;Administrativo;No;Entre 1 a 5;Menos de 1 año;Presencial;Entre 1 y 2 horas;14;4;5;4;2;2;2;1;4;5;4;4;4;4;4;3;3;2;5;5;5;4;2;2;2;3;3;4;4;4;5;5;4;4;5;7;7;7;5;7;7;5;5;5;2;2;3;1;1;1;1;1;3;2;3;3;2;1;2;2;2;2;2;2;3;2;2;1;1;7;5;6;7;5;7;6;5;6;6;3;3;2;3;2;1;1;1;1;1;1;2;1;4.333333333;1.75;4.142857143;2.666666667;4.75;2;3.5;4.4;6.111111111;3;1;2.6;1.833333333;6;2.6;1.125
117;60;Mujer;Casado;2;Profesional;Rural;4;Público;Entre 200 y 500 empleados;No;Carrera;49;Entre 1 y 3 SMLV;Operativo;No;Entre 20 a 25;Entre 1 y 3 años;Presencial;Entre 1 y 2 horas;114;2;2;2;4;3;4;3;3;4;2;3;3;2;3;4;4;3;4;4;4;4;2;1;2;4;3;4;3;3;3;3;3;3;5;6;6;5;6;5;5;5;6;4;2;6;4;6;4;2;4;4;3;2;6;4;2;2;2;2;2;2;2;3;1;2;2;2;2;6;7;7;5;6;5;5;6;6;6;2;2;1;2;2;2;2;1;1;2;2;1;1;2;3.5;2.857142857;3.666666667;4;1.666666667;3.5;3;5.444444444;4;4;3.4;2;5.9;1.8;1.5
118;55;Mujer;Casado;3;Posgrado;Urbana;2;Mixto;Entre 200 y 500 empleados;Si;Presentación de servicios;45;Entre 1 y 3 SMLV;Operativo;No;Entre 10 a 15;Entre 3 y 7 años;Presencial;Entre 1 y 2 horas;40;5;3;4;1;2;2;1;4;3;3;3;4;4;4;5;5;4;5;4;5;4;3;2;2;3;4;4;4;2;2;2;2;2;4;6;5;6;6;5;2;4;6;4;6;4;6;3;2;3;2;3;3;1;3;3;3;3;3;2;2;2;3;2;2;2;3;3;3;6;5;6;6;6;5;6;6;6;6;2;2;3;2;3;1;1;3;3;1;1;2;2;4;1.5;3.571428571;4.666666667;4.5;2.333333333;3.75;2;4.888888889;5;2.6;2.6;2.5;5.8;2.4;1.75
119;45;Hombre;Viudo;1;Profesional;Urbana;4;Mixto;Entre 50 y 200 empleados;No;Otro;48;Entre 3 y 5 SMLV;Operativo;Si;Entre 10 a 15;Entre 3 y 7 años;Presencial;Menos de 1 hora;106;1;2;2;5;4;4;4;4;3;3;3;4;4;4;4;4;4;4;5;5;5;4;4;5;5;4;4;4;4;3;3;3;4;2;2;2;4;4;2;2;2;2;3;7;6;7;3;2;3;3;2;6;6;6;6;6;1;2;3;4;4;3;3;2;3;3;3;3;3;4;3;3;4;3;2;4;4;2;5;5;6;5;5;4;4;5;4;4;4;3;5;1.666666667;4.25;3.571428571;4;4.75;4.333333333;4.25;3.4;2.444444444;5.75;2.6;6;2.833333333;3.2;5.2;4.125
120;65;Hombre;Soltero;3;Posgrado;Urbana;4;Público;Más de 500 empleados;No;Provisionalidad;45;Entre 1 y 3 SMLV;Administrativo;No;Entre 1 a 5;Entre 1 y 3 años;Presencial;Menos de 1 hora;16;1;1;2;4;4;4;4;4;4;3;3;3;3;4;5;4;4;5;5;5;5;2;2;3;3;2;3;3;4;4;4;3;4;2;2;2;2;4;4;4;2;4;3;5;5;5;2;3;1;2;2;2;4;4;2;2;4;4;4;3;4;4;4;4;4;5;4;4;4;3;3;3;3;3;2;4;3;4;5;6;5;5;6;6;6;5;5;4;6;6;7;1.333333333;4;3.428571429;4.333333333;5;2.333333333;2.75;3.8;2.888888889;4.5;2;2.8;4;3.2;5.4;5.625
121;29;Hombre;Soltero;Sin hijos;Técnico;Rural;4;Público;Más de 500 empleados;No;Libre nombramiento y remocion;47;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Entre 3 y 7 años;Presencial;Entre 1 y 2 horas;3;5;5;5;1;2;1;1;4;4;4;4;5;4;5;2;3;3;5;5;5;5;1;1;1;3;3;2;3;2;3;2;3;2;7;7;6;5;7;7;5;5;7;5;1;1;3;1;1;1;1;3;3;3;3;1;3;1;1;1;2;1;1;2;1;2;1;1;2;6;7;5;6;6;6;5;6;6;5;1;1;1;2;1;1;1;2;2;1;2;1;1;5;1.25;4.285714286;2.666666667;5;1;2.75;2.4;6.222222222;2.5;1.4;2.6;1.333333333;5.8;1.2;1.375
122;41;Mujer;Unión libre;2;Posgrado;Rural;3;Público;Entre 200 y 500 empleados;No;Carrera;43;Entre 3 y 5 SMLV;Administrativo;Si;Entre 10 a 15;Entre 1 y 3 años;Presencial;Menos de 1 hora;82;5;5;5;2;2;2;2;4;4;5;4;3;5;4;5;4;4;4;3;4;3;2;2;3;4;4;4;3;3;4;4;3;3;5;7;7;5;5;7;5;7;7;4;2;2;2;6;4;3;2;2;2;2;2;2;4;2;1;1;2;3;3;2;1;2;2;1;1;7;7;7;6;7;6;7;7;7;7;2;2;3;1;2;3;2;4;2;2;1;4;2;5;2;4.142857143;4.333333333;3.5;2.333333333;3.75;3.4;6.111111111;2.5;3.4;2.4;1.75;6.8;2;2.5
123;40;Mujer;Soltero;Sin hijos;Tecnológico;Urbana;4;Público;Más de 500 empleados;No;Provisionalidad;40;Entre 1 y 3 SMLV;Administrativo;No;Entre 1 a 5;Más de 10 años;Presencial;Menos de 1 hora;4;3;2;3;3;2;3;2;3;3;4;3;3;4;3;3;4;3;3;4;4;5;2;2;2;5;5;5;4;5;5;4;4;5;7;5;7;5;5;5;6;7;5;7;1;3;3;1;3;1;1;3;3;1;3;1;1;1;1;1;1;1;1;2;1;1;1;2;2;6;6;6;6;6;7;6;7;6;6;2;2;2;2;2;2;2;1;1;1;1;2;2;2.666666667;2.5;3.285714286;3.333333333;4;2;4.75;4.6;5.777777778;3.5;1.8;1.8;1.25;6.2;2;1.5
124;56;Mujer;Unión libre;Sin hijos;Tecnológico;Urbana;4;Público;Entre 200 y 500 empleados;No;Carrera;39;Entre 3 y 5 SMLV;Administrativo;No;Entre 10 a 15;Entre 1 y 3 años;Presencial;Menos de 1 hora;55;3;2;5;3;3;2;3;4;3;4;5;5;4;5;3;3;3;5;5;4;4;3;3;3;5;5;5;4;3;4;5;4;4;7;5;5;5;6;5;5;7;5;4;2;4;6;2;2;3;3;4;4;2;4;4;2;2;3;3;3;3;3;3;2;3;2;3;1;6;7;6;7;7;5;6;5;6;6;2;5;4;3;4;1;1;1;3;2;2;2;2;3.333333333;2.75;4.285714286;3;4.5;3;4.75;4;5.555555556;4;2.8;3.2;2.583333333;6.1;3.6;1.75
125;39;Hombre;Soltero;4;Posgrado;Urbana;3;Público;Entre 50 y 200 empleados;No;Carrera;45;Entre 1 y 3 SMLV;Administrativo;No;Entre 10 a 15;Entre 1 y 3 años;Presencial;Menos de 1 hora;3;2;1;4;4;4;5;5;2;2;2;2;2;2;2;3;3;4;4;4;3;4;3;2;3;1;1;2;1;3;3;2;1;3;2;4;4;2;4;4;4;2;4;1;6;5;7;2;2;4;2;3;2;4;6;6;4;5;5;4;5;4;4;4;3;4;4;4;4;4;5;5;5;4;5;5;5;6;5;5;4;5;5;5;3;3;2;3;4;4;4;5;2.333333333;4.5;2;3.333333333;3.75;2.666666667;1.25;2.4;3.333333333;4.75;2.6;4.4;4.166666667;4.9;4.8;3.5
126;47;Mujer;Soltero;Sin hijos;Profesional;Rural;4;Público;Entre 200 y 500 empleados;No;Carrera;42;Entre 1 y 3 SMLV;Administrativo;No;Más de 25;Entre 1 y 3 años;Presencial;Menos de 1 hora;17;5;4;4;2;2;1;2;4;4;4;3;4;4;4;5;4;4;5;5;5;5;2;1;2;3;4;3;3;2;3;3;2;3;7;7;7;5;7;7;5;7;7;7;1;1;3;2;3;2;3;3;4;3;3;2;2;1;1;1;1;2;1;1;1;1;1;2;1;7;7;7;6;7;7;7;7;7;7;1;2;2;1;2;2;1;2;1;1;1;2;1;4.333333333;1.75;3.857142857;4.333333333;5;1.666666667;3.25;2.6;6.555555556;3;2.6;2.8;1.166666667;6.9;1.6;1.375
127;30;Hombre;Casado;2;Posgrado;Urbana;4;Público;Entre 50 y 200 empleados;No;Otro;55;Entre 1 y 3 SMLV;Operativo;Si;Entre 10 a 15;Entre 1 y 3 años;Híbrido;Entre 2 y 3 horas;20;2;1;2;3;3;4;3;3;2;2;1;2;2;1;5;5;5;4;4;5;4;3;2;2;1;3;3;2;3;3;2;2;3;4;4;4;6;6;4;6;6;4;4;6;4;6;6;4;4;6;4;6;6;4;4;6;3;4;4;3;4;4;4;4;4;3;2;4;3;4;4;3;3;4;3;4;3;4;3;3;4;3;4;4;5;5;4;6;5;4;6;1.666666667;3.25;1.857142857;5;4.25;2.333333333;2.25;2.6;4.888888889;5;4.8;5.2;3.583333333;3.5;3.4;4.875
128;65;Hombre;Unión libre;1;Posgrado;Urbana;2;Público;Entre 50 y 200 empleados;No;Presentación de servicios;49;Entre 1 y 3 SMLV;Operativo;No;Más de 25;Entre 3 y 7 años;Presencial;Menos de 1 hora;0;5;5;5;1;2;2;1;4;4;4;4;4;4;4;3;3;3;4;5;4;5;2;2;3;4;3;4;5;5;4;5;5;5;7;7;7;7;5;5;7;5;7;7;3;1;3;3;1;3;3;1;1;1;1;3;1;2;2;2;1;1;2;1;3;2;1;2;2;5;5;6;5;5;5;6;6;4;6;3;3;2;1;3;1;1;1;1;1;2;1;1;5;1.5;4;3;4.5;2.333333333;4;4.8;6.333333333;3.5;2.2;1.4;1.75;5.3;2.4;1.125
129;56;Mujer;Casado;Sin hijos;Posgrado;Rural;4;Público;Entre 200 y 500 empleados;No;Otro;42;Entre 1 y 3 SMLV;Directivo;No;Entre 10 a 15;Menos de 1 año;Presencial;Menos de 1 hora;15;5;5;5;1;2;2;2;3;3;3;4;3;4;4;4;5;5;5;5;4;5;1;2;2;2;3;3;3;2;2;2;2;1;5;5;5;6;5;7;6;5;5;6;2;2;3;1;2;2;2;3;3;3;3;3;3;1;2;2;1;2;3;3;2;2;2;2;3;7;6;6;6;7;6;7;7;7;6;3;2;4;2;2;3;3;4;4;3;3;4;4;5;1.75;3.428571429;4.666666667;4.75;1.666666667;2.75;1.8;5.444444444;3.25;2;3;2.083333333;6.5;2.6;3.5
130;46;Mujer;Casado;3;Profesional;Urbana;4;Público;Entre 200 y 500 empleados;No;Carrera;61;Entre 1 y 3 SMLV;Administrativo;No;Entre 20 a 25;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;49;5;5;5;2;1;1;2;4;3;4;4;4;2;4;3;3;3;4;4;5;5;4;3;3;4;4;5;4;3;2;2;2;2;5;5;7;7;7;7;7;7;5;7;3;1;1;1;1;1;1;3;1;1;1;3;1;2;1;1;1;2;1;2;1;1;1;1;1;6;7;6;7;6;6;7;7;7;7;1;1;3;2;1;3;3;3;4;4;3;3;4;5;1.5;3.571428571;3;4.5;3.333333333;4.25;2.2;6.333333333;3;1.4;1.4;1.25;6.6;1.6;3.375
131;42;Mujer;Casado;1;Tecnológico;Urbana;3;Público;Entre 50 y 200 empleados;No;Provisionalidad;39;Entre 1 y 3 SMLV;Operativo;Si;Entre 10 a 15;Más de 10 años;Presencial;Menos de 1 hora;56;4;4;5;1;2;2;1;3;4;4;3;3;4;4;5;4;4;5;5;5;5;2;1;1;4;4;4;4;3;4;3;4;5;5;6;5;7;5;7;5;5;5;7;3;1;4;3;2;1;3;3;3;2;3;3;2;1;1;2;1;2;2;1;1;1;1;2;2;4;6;5;5;6;4;5;7;6;5;3;2;3;3;2;2;1;1;1;2;2;2;1;4.333333333;1.5;3.571428571;4.333333333;5;1.333333333;4;3.8;5.555555556;3.75;2.4;2.6;1.416666667;5.3;2.6;1.5
132;41;Hombre;Unión libre;1;Técnico;Rural;4;Público;Entre 50 y 200 empleados;Si;Provisionalidad;42;Entre 1 y 3 SMLV;Administrativo;No;Entre 1 a 5;Entre 3 y 7 años;Presencial;Entre 1 y 2 horas;4;3;3;3;3;3;3;3;4;4;4;4;4;5;4;4;4;4;4;4;5;5;3;3;2;5;4;5;4;4;3;3;2;2;5;5;7;5;7;7;7;7;5;7;1;3;1;2;4;6;4;2;3;4;2;3;4;2;2;1;1;2;2;2;2;1;2;1;2;6;6;6;6;6;6;7;7;7;6;2;2;1;1;1;1;3;2;3;1;1;1;2;3;3;4.142857143;4;4.5;2.666666667;4.5;2.8;6.111111111;3;3.6;3.2;1.666666667;6.3;1.4;1.75
133;51;Hombre;Soltero;Sin hijos;Posgrado;Urbana;3;Público;Entre 200 y 500 empleados;No;Carrera;41;Entre 1 y 3 SMLV;Operativo;No;Entre 15 a 20;Menos de 1 año;Presencial;Entre 1 y 2 horas;13;4;4;4;2;1;1;1;3;2;2;2;2;3;2;4;3;3;5;5;4;5;1;2;2;2;3;3;2;3;4;4;3;4;5;6;6;5;6;5;7;5;6;6;2;3;3;1;1;1;1;1;1;3;3;2;1;2;2;2;3;2;3;3;2;2;3;3;3;5;5;5;5;5;4;5;5;5;4;4;4;3;5;4;4;5;4;3;4;4;4;4;4;1.25;2.285714286;3.333333333;4.75;1.666666667;2.5;3.6;5.666666667;3.5;1;2;2.5;4.8;4;4
134;38;Hombre;Soltero;Sin hijos;Profesional;Urbana;2;Público;Entre 50 y 200 empleados;No;Libre nombramiento y remocion;43;Entre 1 y 3 SMLV;Administrativo;Si;Entre 20 a 25;Entre 1 y 3 años;Presencial;Menos de 1 hora;5;4;3;4;3;3;4;4;2;2;3;2;3;2;2;3;3;4;4;4;4;4;1;2;2;3;2;2;2;2;3;3;3;3;4;4;6;4;6;6;4;4;4;4;6;6;6;3;3;2;2;3;2;2;4;2;6;3;3;3;3;2;4;4;3;2;3;4;3;5;5;5;5;6;4;5;4;5;4;3;5;4;3;4;4;3;4;3;3;2;3;3;3.666666667;3.5;2.285714286;3.333333333;4;1.666666667;2.25;2.8;4.666666667;5.5;2.6;3.2;3.083333333;4.8;3.8;3.125
135;44;Mujer;Soltero;3;Posgrado;Urbana;5;Público;Más de 500 empleados;No;Otro;40;Entre 1 y 3 SMLV;Administrativo;No;Entre 1 a 5;Más de 10 años;Presencial;Menos de 1 hora;16;3;2;3;3;4;4;3;4;4;4;5;3;3;4;3;4;5;5;4;5;4;3;5;3;3;3;3;3;4;4;4;4;4;7;7;7;7;6;5;7;5;5;5;2;3;3;2;3;2;2;3;5;5;5;5;5;2;3;3;2;3;2;3;2;2;3;2;3;7;6;6;6;6;7;5;6;6;6;1;2;1;1;3;3;3;3;4;3;2;3;3;2.666666667;3.5;3.857142857;4;4.5;3.666666667;3;4;6.222222222;3.25;2.4;5;2.5;6.1;1.6;3
136;40;Mujer;Casado;2;Técnico;Urbana;4;Público;Entre 10 y 50 empleados;No;Carrera;37;Entre 5 y 10 SMLV;Administrativo;No;Entre 5 a 10;Entre 1 y 3 años;Presencial;Entre 2 y 3 horas;20;2;3;3;2;3;3;3;5;5;4;4;4;4;5;4;3;3;5;4;4;5;2;2;2;4;4;5;4;3;3;3;3;3;5;5;5;5;5;5;5;5;5;6;2;3;2;3;3;1;1;3;4;4;4;4;4;2;3;3;3;3;3;2;4;3;3;4;3;5;5;4;5;5;4;4;4;5;5;3;3;2;4;3;2;1;1;1;2;2;1;1;2.666666667;2.75;4.428571429;3.333333333;4.5;2;4.25;3;5;3.25;2.2;4;3;4.6;3;1.375
137;46;Mujer;Unión libre;4;Profesional;Rural;3;Público;Entre 50 y 200 empleados;No;Carrera;41;Entre 1 y 3 SMLV;Administrativo;No;Entre 5 a 10;Entre 1 y 3 años;Presencial;Más de 3 horas;2;4;5;5;2;2;2;2;4;3;4;3;4;4;3;3;3;3;4;4;3;4;2;2;3;5;5;4;5;5;5;5;5;5;5;5;7;6;6;4;6;5;6;6;2;3;3;3;3;2;3;3;2;3;4;2;3;2;2;2;2;2;1;2;2;3;3;2;2;4;3;4;3;4;4;4;4;3;4;3;2;1;2;3;2;2;2;2;2;1;2;1;4.666666667;2;3.571428571;3;3.75;2.333333333;4.75;5;5.555555556;3.5;2.8;2.8;2.083333333;3.7;2.2;1.75
